議案屆次別,大會類別,類別,選區,議員,質詢內容,相關局處,質詢日期,議事錄頁碼開頭,發言開頭2句話,關鍵字（法案名字、簡稱、地名）
第3屆第1次,定期會,市政總質詢,第一選區,劉米山,推廣老人共餐，詢問相關經費問題。,社會局,2019/4/25,p.240,接續上一次 4 月23 日的議題，衣住行已經談完了，食的部分我再做個補充,老人共餐、長照、C級據點
第3屆第1次,定期會,市政總質詢,第一選區,劉米山,詢問殯葬回饋金使用、分配問題,民政局,2019/4/25,p.241,因為時間的關係，我必須要切入回饋金的議題,納骨塔、殯葬、回饋金
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,除特色公園外，也要規劃給高齡者使用的公園設施。,市長,2019/4/25,p.243,防範勝於治療，我覺得非常重要，在公共設施方面要加強提升,特色公園、共融式公園、高齡者
第3屆第1次,定期會,市政總質詢,第八選區,謝龍介,自身關心麻豆柚農卻被市長團隊抹黑。,市長,2019/4/25,p.245,我請問你，麻豆文旦一年的收成量大約多少？,麻豆、文旦、柚子
第3屆第1次,定期會,市政總質詢,第八選區,謝龍介,增加往農民銷售到中國的通路。,市長,2019/4/25,p.246,因為封路，包括李議員剛剛質詢你的，稻米也是一樣。,農產品、中國
第3屆第1次,定期會,市政總質詢,第八選區,謝龍介,降低房屋稅，單一自用住宅應減半。,市長,2019/4/25,p.250,房屋稅美中不足，為什麼會讓社會說是賴清德牽著你，所以有陰影。,房屋稅、單一住宅、自用住宅
第3屆第1次,定期會,市政總質詢,第八選區,謝龍介,雙行政中心沒有效率，應取消。,市長,2019/4/25,p.251,很簡單，只有兩件事而已，第一將雙行政中心取消,雙行政中心
第3屆第1次,定期會,市政總質詢,第八選區,謝龍介,要求區整併，以省下行政經費。,市長,2019/4/25,p.251,我請問你，37 個行政區域合併起來，一年可以省下3 億5 千萬元，你要做嗎？,區合併、整併
第3屆第1次,定期會,市政總質詢,第八選區,謝龍介,開發南山公墓衝擊過大，裡面有太多歷史、文化、情感。,市長,2019/4/25,p.254,人家的祖先長埋在那 100、200 年,南山公墓
第3屆第1次,定期會,市政總質詢,第八選區,謝龍介,南市建設案申請執照程序會因是否認識的建商而有差別待遇，此文化應改變。,市長,2019/4/25,p.257,最後本席跟你討論臺南市的建設案，申請執照程序,建設案、執照、差別待遇
第3屆第1次,定期會,市政總質詢,第十選區,王家貞,東區衛國里長輩多，活動中心三樓設置健身器材而不打造關懷之家，質疑市府綁樁。,市長,2019/4/25,p.259,民政局長，我從東區講起，衛國里活動中心那麼好,東區、衛國里、活動中心、關懷之家
第3屆第1次,定期會,市政總質詢,第十選區,王家貞,育兒津貼與托育補助不足。,市長,2019/4/25,p.261,大家都說少子化是國安問題，但是坦白講我說過一句話,育兒津貼、托育補助
第3屆第1次,定期會,市政總質詢,第十選區,王家貞,為解決少子化、高齡化，建議市府成立青年暨育兒局。,市長,2019/4/25,p.262,您在立法院的時候，這些議題您應該非常清楚。少子化之外，還有高齡化,少子化、高齡化、青年暨育兒局
第3屆第1次,定期會,市政總質詢,第十選區,王家貞,質詢市長兩岸及國族認同議題。,市長,2019/4/25,p.268,接著是兩岸議題，您是中華民國國籍對吧？,兩岸、國族認同
第3屆第1次,定期會,市政總質詢,第十選區,王家貞,要求成立台商回流專案小組。,市長,2019/4/25,p.269,研考會，我看到了市長的一些相關消息，兩岸關係小組現在是什麼狀況？,兩岸、台商、台商回流小組
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,道路一挖再挖，造成民怨，建議設立專線讓市民反映。,市長,2019/4/26,p.271,最近本席針對一些民怨問題也就是我們臺南市市民對臺南市有哪一些民怨？,道路施工、專線
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,用公辦費提高教保券，減輕家長負擔。,市長,2019/4/26,p.272,第二，現在在少子化的過程中，大家非常重視基礎教育,少子化、公辦費、教保券
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,吸引高科技產業到台南投資，增加就業機會。,市長,2019/4/26,p.273,第三個民怨是青年求職不易跟薪資過低的問題,高科技、投資、就業機會
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,空汙嚴重，學生上課要裝冷氣及空氣清淨機。,市長,2019/4/26,p.275,還有，第四個痛呢？我想食安跟空污應該是現階段大家非常重視的,空汙、冷氣、空氣清淨機
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,環保局購得的掃地機用柴油，應改用充電式的。,環保局,2019/4/26,p.276,未來我們公部門各方面所採購的車輛，你要注意一下它的燃料,環保局、掃地機、柴油、充電式
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,加強照服員在職訓練，讓更多人能從事照服相關行業。,市長,2019/4/26,p.276,第五個痛，高齡照顧人力資源嚴重不足、不穩定,照服員、在職訓練
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,公車路網不符合市民需求，要做好交通規劃。,市長,2019/4/26,p.277,第六個痛就是公車網的規劃不符市民需求,公車、路網、交通
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,調降房屋稅，增加社會住宅數量。,市長,2019/4/26,p.277,再來，房價太高，租屋又不易。現在房價動不動就上千,房屋稅、房價、社會住宅
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,台南市醫院病房不足。,市長,2019/4/26,p.278,還有，最近可能天氣變化，有時大家一直覺得病房不足,醫院、病房
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,都市計畫劃定後不開發，對地主不公平。,市長,2019/4/26,p.279,這個痛也是很多地主都有的，有的在都市計畫的時候已經被劃定為公設,都市計畫、開發、地主
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,針對南、安平區做整合的觀光規劃，成立專責小組負責。,市長,2019/4/26,p.281,在我們南區、安平區觀光景點的串聯方面，我們南區跟安平區兩區合併,南區、安平區、專責小組、觀光
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,黃金海岸船屋未來規劃招商問題。,市長,2019/4/26,p.283,除了漁光島，我們有看到黃金海岸跟漁光島雷同,黃金海岸、船屋、招商
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,竹溪中、下游環境無改善。,市長,2019/4/26,p.284,還有對竹溪的整治，竹溪現在在水利局第一期、第二期,竹溪、整治
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,國民路打通副都心規劃進度。,都發局,2019/4/26,p.286,市長向你報告今天地理環境。再來，就是國民路打通副都心,國民路、副都心
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,要求規劃南區入口意象。,市長,2019/4/26,p.288,還有未來一下機場來到我們臺南第一個入口意象就是我們南區跟東區大同路,南區、東區、大同路、入口意象
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,詢問灣裡汙水廠不興建後土地規劃。,市長,2019/4/26,p.288,市長應該知道我們之前在灣裡有一個污水廠,灣裡、汙水廠、土地規劃
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,提供基層員警洗衣服地方，並多發放兩件制服。,警察局,2019/4/26,p.290,最近在4 月18 日，我們有看到這件衣服，李文俊議員幫忙穿一下,警察、員警、制服、警察局
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,要求消防局裡要有烘衣櫃，避免消防衣潮濕水氣到火場會造成危險。,消防局,2019/4/26,p.293,這個問題我跟你報告一下，我們看下一個影片。,消防局、消防衣、烘衣櫃
第3屆第1次,定期會,市政總質詢,第九選區,林美燕,輔導五人以下公司之員工去投保，保障他們的權利。,市長,2019/4/26,p.295,我們有看到在勞保條例裡面針對五人以下的企業，我們有強制要求他必須要成立一個投保單位,勞保、五人以下、投保
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,建議推動台南新市政中心。,市長,2019/4/26,p.298,在此，我想說的是，我第一次提案建議到現在都沒有落實,新市政中心、善化、新市、安定
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,建議推動65歲以上老人免健保費,市長,2019/4/26,p.298,再來是向你建議，比照其它五都65 歲以上老人的健保費都由政府負擔,65歲以上、健保費
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,啟動安定工業區更新擴編計畫。,市長,2019/4/26,p.299,再來就是啟動我們安定工業區更新擴編計畫,安定工業區、擴編、更新
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,建議發放鄰長交通補助費。,市長,2019/4/26,p.300,因為大家都在提鄰長來連署簽名，我也來跟市長說，別人來說給我聽,鄰長、交通補助費
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,公設保留地通盤檢討，若不使用就要解編，還地於民。,市長,2019/4/26,p.300,再來就是公設保留地，本席過去也講過，我們公設保留地就是當時民國六十幾年政府下去通盤檢討,公設保留地、通盤檢討、解編
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,個案善化道路土地爭議問題。,市長,2019/4/26,p.301,都發局，是什麼原因我會問你這個案子？因為現在很多人在看電視,善化、道路爭議
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,要求開放自辦重劃，不必所有都要公辦。,市長,2019/4/26,p.302,再來就是以前是地盡其利，提升土地資源有效利用，開放自辦重劃,自辦重劃、公辦、土地重劃
第3屆第1次,定期會,市政總質詢,第五選區,李文俊,要求打通目加溜灣台19甲到國道八號道路。,市長,2019/4/26,p.303,再來是加速安定東路到南科園區北側新增聯外道路，那個道路要開闢。,目加溜灣、台19、國道八號、聯外道路、南科
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,善用東區15公頃文教用地，打造城市音樂廳或其他建設。,市長,2019/4/26,p.304,市長，這張是你在巴克禮公園、在107 年時和民進黨這次要參選的議員一起開的記者會。,東區、文教用地、城市音樂廳
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,要求平實營區建設青年住宅政策不要跳票。,市長,2019/4/26,p.309,第二個青年住宅，你在南紡夢時代跟一些年輕人討論說未來房屋所得年年升高,青年住宅、平實營區
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,榮民之家搬遷地土地規劃，期望能做做活動中心或停車場。,市長,2019/4/26,p.313,都發局長，配合鐵路地下化，榮民之家搬遷嘛！,榮民之家、活動中心、停車場
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,期望鐵路地下化後打通崇學路，舒緩交通。,市長,2019/4/26,p.313,本席很關注這件事情，我已經在我任期提過兩次打通崇學路,鐵路地下化、崇學路
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,詢問有簽約的準公共化幼兒園數量，加速政策進度。,教育局,2019/4/26,p.317,好好來思考一下，市長你請坐，教育局長，今天是我們公幼幼兒抽籤的日子對不對？,幼兒園、準公共化、公共化
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,加強校園安全。,教育局,2019/4/26,p.321,下一頁，教育局長這點我還是要問你，為什麼校園安全亮紅燈,校園安全
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,關心校園食安問題。,衛生局,2019/4/26,p.322,局長，再來就是食安問題，前幾天大灣國中150 師生上吐下瀉,校園食安
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,共融式遊具應大小校有不同建設經費跟規模。,教育局,2019/4/26,p.323,局長，寓教於樂，我很認同創意遊戲計劃,共融式遊具
第3屆第1次,定期會,市政總質詢,第十選區,曾培雅,解決三爺溪淹水問題。,水利局,2019/4/26,p.325,水利局長我現在看到這張圖裕農路跟太子路這塊，再到自由路、東門路這塊隨時在淹水,三爺溪、淹水
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,要求審計部對於社區活動辦理不應收取水電費。,民政局,2019/4/29,p.328,審計處發函給社區發展協會、里辦公處於里社區活動辦理社區照護關懷計畫,審計部、社區活動、水電費
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,社區活動中心卡拉OK要有預算來購買新歌版權。,民政局,2019/4/29,p.329,另外要再請教顏局長一事，最近我們都看得到社區歌唱設備，請問局長喜歡唱歌嗎？,活動中心、卡拉OK、新歌、版權
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,勞檢中心升二級機關，卻沒有走相對應的行政流程。,勞工局,2019/4/29,p.329,接下來要請教勞工局局長，請問局長昨天4 月28 日是一個什麼樣的節日？,勞檢中心、行政流程、二級機關
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,勞檢員編制不足，分工不清楚，流動率高。,勞工局,2019/4/29,p.332,繼續來討論勞檢中心職安健康處的人員編制，它於升格後僅多編列5 名人員,勞檢中心、職安健康處、人員編制、勞檢員
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,勞檢機構設備直到2019年才購入，詢問前幾年勞檢設備購置經費何來。,勞工局,2019/4/29,p.337,這是勞動檢查裡面我覺得最瞎且最特別的地方，勞工局從106 年就說要成立勞動機構，但是勞動檢查相關設備今年才購入,勞檢設備
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,爭取北區、安南、永康區更多托育機構。,社會局,2019/4/29,p.338,下一個議題是嬰幼兒福利，這陣子的質詢我們都是希望能以全人發展為目標,托育、北區、安南、永康
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,希望在設立特色公園時能加入公民討論意見。,工務局,2019/4/29,p.339,接下來要請教工務局局長，首先很感謝您對特色公園的用心,特色公園、公民參與
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,爭取非營利幼兒園設立。,教育局,2019/4/29,p.339,再來請教教育局局長，局長早安！局長應該知道我在擔任議員職務前為一名教師吧？,幼兒園、非營利幼兒園、公幼、私幼
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,督促私幼公共化政策推行。,教育局,2019/4/29,p.341,好，謝謝局長。接下來我們來看私幼公共化的情形,私幼、公共化、準公共化
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,對國小有英文能力認證就加分制度感到存疑，教師無法真正運用英文能力。,教育局,2019/4/29,p.342,今天來探討代課老師的問題，教甄又來臨了，這三題是去年的考題,英文能力、加分制度
第3屆第1次,定期會,市政總質詢,第八選區,沈震東,代理教師聘期應拉長到一整年，確保有一年的全薪。,教育局,2019/4/29,p.343,再來要探討代理教師的困境，局長認為代理教師的困境是什麼？,代理教師、聘期、全薪
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,北區開南街道路開闢問題。,工務局,2019/4/29,p.344,北區的NA-121-12M 就是全段開南街的12 米道路,北區、開南街、NA-121-12M
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,台南公園連鎖磚部分建議改劃為停車格。,工務局,2019/4/29,p.344,再來也是工務局的業務，是臺南公園的現況停車問題,台南公園、停車格
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,活動中心蓋在公園預定地上，停車格少，建議增設停車格。,工務局,2019/4/29,p.345,我們有很多公園預定地開闢為公園，過去因為地方上有需求,活動中心、停車格
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,開元國小原美國學校舊址規劃為接駁轉運站，地方無法接受委外成大規劃。,交通局,2019/4/29,p.345,開元國小原美國學校舊址要規劃為接駁轉運站,開元國小、美國學校、轉運站、委外規劃、成大
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,培養學生人與人之間的連結教育，學習處世道理。,教育局,2019/4/29,p.346,請鄭局長先坐下，目前臺中市發生因為霸凌導致國中生跳樓,學校教育
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,公權力的強制性對教育有益，太民主的教育對小孩子來說不會成長。,教育局,2019/4/29,p.348,市長在這裡聽，我們的教育框架真的要有公權力而且人性化、合理化的強制性,公權力、教育、民主
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,詢問北門路九六新村土地規劃運用,都發局,2019/4/29,p.349,臺南市有很多國防部的眷改土地一直擱置著,
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,要求65歲以上老人免繳健保費。,市長,2019/4/29,p.350,還有65 歲以上長者的健保補助，在財政支出允許下來應編列預算,65歲以上、健保費
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,編列預算做親子悠遊館，應在績效政策大量推動。,市長,2019/4/29,p.351,接下我要談的是親子悠遊館，為什麼還要提這個,親子悠遊館
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,舊東帝士百貨土地規劃發展問題。,經發局,2019/4/29,p.351,再來要請教經發局局長，小北商圈與新小北商圈,東帝士百貨
第3屆第1次,定期會,市政總質詢,第八選區,許至椿,政府外包造成公共危險，鐵路外包工程要重新檢討。,市長,2019/4/29,p.352,大家回想一下阿里山的火車出軌，向大家報告，我每一位朋友來,外包、公共危險
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,詢問151線崑崙路路平計畫進度。,工務局,2019/4/29,p.353,蘇局長、黃市長，我在上次工作報告時就已經提出來，這一條151 線在歸仁的部分稱為凱旋路,仁德、歸仁、凱旋路、崑崙路、路平
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,詢問港尾溝溪下游無名橋工程發包進度。,水利局,2019/4/29,p.353,市長，你還在擔任立委時我不斷爭取這一條港尾溝溪工程,港尾溝溪
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,關心三爺溪排水，萬代橋橋墩工程發包進度。,工務局,2019/4/29,p.354,接下來我要說的是關於我們的排水系統，你看到的這座是萬代橋,三爺溪、萬代橋
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,歸仁區和順路段排水箱涵工程進度。,市長,2019/4/29,p.356,市長，我們看到的是生活圈交通系統建設計畫，歸仁區市南10 就是和順路這一段增設排水箱涵工程,歸仁、和順路
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,成功爭取到高發三路工程開工。,市長,2019/4/29,p.357,接下來，市長，這是高鐵站區的高發三路，也在我們站區最外圍,高發三路
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,感謝市府在高鐵站區周圍的建設與交通規劃。,市長,2019/4/29,p.358,我們現在回頭來講高鐵站區，先來看會展中心,高鐵站區
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,建議台86線橋下興建活動中心。,市長,2019/4/29,p.359,黃市長，當初我為什麼會一直爭取公路總局台86 線橋下無償使用？,台86、活動中心
第3屆第1次,定期會,市政總質詢,第十一選區,杜素吟,向市長說明仁德第九公墓遷葬歷史。,市長,2019/4/29,p.360,再來是關於民政局的，局長請坐，我來向市長報告，仁德有一個第九公墓,仁德、第九公墓、遷葬
第3屆第1次,定期會,市政總質詢,第六選區,黃麗招,爭取安南區建設第一個親子館。,市長,2019/4/30,p.363,前幾天還有一個媽媽不認識我卻打電話跟我說：「你爭取的文化中心那麼好、那麼優質，是不是能增加一些兒童遊戲器具？」,安南、親子館
第3屆第1次,定期會,市政總質詢,第六選區,黃麗招,建議在安中路同安路口設立抽水站。,水利局,2019/4/30,p.366,現在要請問的是水利局局長，針對安南區每次淹水的部分,安中路、同安路
第3屆第1次,定期會,市政總質詢,第六選區,黃麗招,建議市府編列預算，改建長安里活動中心。,市長,2019/4/30,p.368,這個地方是我的出生地，長安里活動中心,長安里、活動中心
第3屆第1次,定期會,市政總質詢,第六選區,黃麗招,推動安南區東西向公車路網。,交通局,2019/4/30,p.369,看一下臺江區域公車網，我們的公車通通都是在市內和安南區，並沒有在區內做規劃,公車、安南
第3屆第1次,定期會,市政總質詢,第六選區,黃麗招,安南區清潔人員編制不足。,市長,2019/4/30,p.370,最後我關心的是，以安南區的人口數，目前重劃區這麼多，包括區公所的編制，重點是環保局清潔隊員的不足,安南區、清潔人員
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,春遊補助在經典小鎮鹽水、後壁規劃不夠完善。,觀旅局,2019/4/30,p.372,先請教陳信安局長，您是文化專才，曾經對臺南市觀光著墨非常多,鹽水、後壁、春遊補助、經典小鎮
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,觀光巴士在台南交通接駁不夠完善，無法串聯區域旅遊。,交通局,2019/4/30,p.375,林局長，去年有一個府城巡迴觀光巴士上路，本來是免費的，現在要收錢了。,觀光巴士
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,各區公所提出來的小鎮輕旅行計畫無法提升地方經濟。,民政局,2019/4/30,p.376,請教民政局顏局長，市政府民政局今年編了1請教民政局顏局長，市政府民政局今年編了1億2 千萬要辦理區里公共設施設備,小鎮輕旅行
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,地方創生優先推動區數量問題。,民政局,2019/4/30,p.377,那你知不知道108 年國家是訂什麼年？臺灣是什麼年？,地方創生、優先推動區
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,鼓勵在地企業回饋地方，不是用回饋金，而是補助區公所的方式。,民政局,2019/4/30,p.379,顏局長，我已經播放給你看了，另外在創生會報裡面還有一個要求的重點,在地企業、回饋金
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,學校閒置空間可以盤點後多加利用。,教育局,2019/4/30,p.380,教育局鄭局長，我知道這4 個閒置的空地，本來國發會希望比照日本的方式,學校空間
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,加強農村經典小鎮資源盤點。,農業局,2019/4/30,p.381,在農業的部分，我沒有叫你站起來，你很緊張，保重一點。,經典小鎮
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,建議成立地方創生綜合協調小組。,市長,2019/4/30,p.381,市長，有關臺灣的地方創生元年，我覺得臺南市政府沒有成立一個地方創生綜合協調小組。,地方創生
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,台南市不缺就業機會，是薪資結構有問題。,經發局,2019/4/30,p.382,再來請問主計處陳處長，很久沒問您了，每年八月主計處都會發布全國家庭收支調查報告,就業機會、薪資結構
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,大台南會展中心產業定位問題。,經發局,2019/4/30,p.383,2021、2022 年都是黃偉哲市長的任期，甚至8 年內，有三個北中南的會展中心即將開幕,會展中心
第3屆第1次,定期會,市政總質詢,第八選區,邱莉莉,把原美國學校土地保留下來，建設大型親子遊憩空間。,市長,2019/4/30,p.383,明天也是臺灣綜合所得稅申報開始，雖然這次綜所稅政府有聽到人民的聲音,美國學校、親子遊憩
第3屆第1次,定期會,市政總質詢,第一選區,劉米山,增加弱勢兒童課後照顧相關措施。,社會局,2019/4/30,p.385,現在65 歲以上的老人人口比率，之前已經提過,弱勢兒童、課後照顧
第3屆第1次,定期會,市政總質詢,第一選區,劉米山,要求區長說明殯葬回饋金使用情況。,民政局,2019/4/30,p.387,接著要請教的是殯葬回饋金的議題，這是有納骨堂的地方才有，民政局現在都怎麼使用殯葬回饋金？,殯葬、回饋金
第3屆第1次,定期會,市政總質詢,第一選區,劉米山,退休警員補助金問題。,警察局,2019/4/30,p.391,接著，退休警察越來越多，原本100 年度差不多有600 多個，107 年已經910 位,退休警察
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,建議市府補助不孕症家庭，增加生育率。,市長,2019/4/30,p.392,今天我要質詢的是上次來不及講的共融式公園,不孕症、生育率
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,柳營公托家園地目變更問題。,市長,2019/4/30,p.394,對家長而言學齡前照顧非常重要，你知道0 到2 歲是最辛苦的，但最辛苦的階段在公托,公托、柳營、地目變更
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,保母數量不足，市府要投入資源幫助。,市長,2019/4/30,p.395,另外，新生兒保母的部分也是不足，市長知道嗎？,保母、新生兒
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,希望市府積極推動私幼公共化。,教育局,2019/4/30,p.396,8 月1 日準公共幼兒園要上路了，教育局長準備好了嗎？,私幼、公共化
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,漸進式推動65歲以上免健保費。,市長,2019/4/30,p.397,接著也是我選舉的政見，65 歲以上健保費免費補助,65歲以上、健保費
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,推動學校公園化，並打造共融式公園。,教育局,2019/4/30,p.398,上次講了一半的，推動特色共融式公園，真的不要忽視長輩的權利。,學校公園化、共融式公園
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,鹽水大排挖到文資遺產無法施作工程，要想其他辦法解決淹水問題。,水利局,2019/4/30,p.399,剛剛我也一直跟市長說鹽水大排的問題，之前八二三真的很可怕,鹽水大排、文資
第3屆第1次,定期會,市政總質詢,第十二選區,Ingay Tali 穎艾達利,監督局處針對議員質詢內容回覆速度問題。,秘書處,2019/5/1,p.401,在市政總質詢之前，過去專案報告及業務詢答還是有很多議題至今未得到明確或正確的書面答覆。,公文
第3屆第1次,定期會,市政總質詢,第十二選區,Ingay Tali 穎艾達利,原資中心人事編制及資產不足。,教育局,2019/5/1,p.403,然而回歸問題的核心點，第一是原住民教育問題,原資中心
第3屆第1次,定期會,市政總質詢,第十二選區,Ingay Tali 穎艾達利,原民教材使用大量不合理經費，要求局處給出相關資料。,教育局,2019/5/1,p.405,最奇怪的是，我手上這本你知道是甚麼嗎？,原民教材
第3屆第1次,定期會,市政總質詢,第十二選區,Ingay Tali 穎艾達利,要求市府成立原住民專責機關。,市長,2019/5/1,p.408,謝謝市長！在原住民教育問題之外，接下來談臺南市政府更核心但大家避而不提的問題，即原住民專責機關。,原住民專責機關
第3屆第1次,定期會,市政總質詢,第七選區,林阳乙,要求補助鄰長交通費。,市長,2019/5/1,p.410,"昨天為了鄰長補助2,000元，大會已經有討論",鄰長、交通費
第3屆第1次,定期會,市政總質詢,第七選區,林阳乙,65歲以上老人免繳健保費。,市長,2019/5/1,p.411,其次有關健保費一個月約780幾元，但六都唯獨臺南沒有,65歲以上、健保費
第3屆第1次,定期會,市政總質詢,第七選區,林阳乙,郭秀珠母女幫忙市長初選，但他們落選後市長沒有關心他們。,市長,2019/5/1,p.411,還有一點就是你不會做人，你參選市長初選時郭秀珠議員跟他女兒擔任甚麼職務？,郭秀珠、陳筱諭
第3屆第1次,定期會,市政總質詢,第十一選區,吳禹寰,南市多無醫里，需改善他們的醫療環境。,衛生局,2019/5/1,p.412,我們看到下一張表是108年沒有衛生局或健保署巡醫服務的，我稱為無醫里,無醫里
第3屆第1次,定期會,市政總質詢,第十一選區,吳禹寰,仁德二空新村需要安排行動醫療進駐。,衛生局,2019/5/1,p.414,仁德區二空新村雖然不是偏鄉，但卻是亟需行動醫療的地方,仁德、二空新村
第3屆第1次,定期會,市政總質詢,第七選區,林阳乙,永康地價稅漲幅過高，對永康人不公平。,市長,2019/5/1,p.414,在3年前房屋稅、地價稅調漲的時候吵得沸沸揚揚，今年仍要調漲81%,地價稅、永康
第3屆第1次,定期會,市政總質詢,第七選區,林阳乙,永康二王公墓剩四分之一未遷葬，希望能加速完成並善加利用土地。,市長,2019/5/1,p.415,市長，你在永康當過議員，二王公墓從之前曾文錡市長、李坤煌市長就陸續編預算撿骨進塔,永康、二王公墓、遷葬
第3屆第1次,定期會,市政總質詢,第十一選區,吳禹寰,巡迴醫療或行動醫療缺少中醫。,衛生局,2019/5/1,p.416,延續剛提到的醫療資源問題，請問衛生局長，臺南市無論是衛生局的巡迴醫療或健保署主導的行動醫療有中醫的嗎？,巡迴醫療、行動醫療、中醫
第3屆第1次,定期會,市政總質詢,第十一選區,吳禹寰,建議在歸仁興建大型綜合醫院。,市長,2019/5/1,p.417,現在山區也亟需大型綜合醫院，我建議是在高鐵特定區,歸仁、大型醫院
第3屆第1次,定期會,市政總質詢,第七選區,林阳乙,成大和奇美醫院病床數不足。,衛生局,2019/5/1,p.418,臺南市民都遭遇到沒有病床的問題，這是甚麼原因？,成大醫院、奇美醫院、病床
第3屆第1次,定期會,市政總質詢,第十一選區,吳禹寰,少子化情形嚴重，市府須擬定相關政策。,市長,2019/5/1,p.419,我下一個議題是少子化問題。現代人普遍生得起、養不起。,少子化
第3屆第1次,定期會,市政總質詢,第七選區,林阳乙,永康挖汙水下水道，造成道路重複填補，破壞柏油路。,市長,2019/5/1,p.421,市長，有關下水道在縣市合併後臺南市的部分都做完了,下水道、永康
第3屆第1次,定期會,市政總質詢,第十一選區,吳禹寰,希望道路上標誌線要有防滑措施。,交通局,2019/5/1,p.422,請問交通局長，道路上標誌線、白線、紅線、黃線有沒有做防滑措施？,標誌線、防滑措施
